GSEC3_65_number,GSEC3_65_code,GSEC3_65_description_short,GSEC3_65_description_detailed,GSEC2_57_number,GSEC2_57_code,GSEC2_57_description_short,GSEC2_57_description_detailed
1,"pdr","Paddy rice","Rice: seed, paddy (not husked)",1,"pdr","Paddy rice","Paddy Rice: rice, husked and unhusked"
2,"wht","Wheat","Wheat: seed, other",2,"wht","Wheat","Wheat: wheat and meslin"
3,"gro","Cereal grains nec","Other Grains: maize (corn), sorghum, barley, rye, oats, millets, other cereals",3,"gro","Cereal grains nec","Other Grains: maize (corn), barley, rye, oats, other cereals"
4,"v_f","Vegetables, fruit, nuts","Veg & Fruit: vegetables, fruit and nuts, edible roots and tubers, pulses",4,"v_f","Vegetables, fruit, nuts","Veg & Fruit: vegetables, fruitvegetables, fruit and nuts, potatoes, cassava, truffles,"
5,"osd","Oil seeds","Oil Seeds: oil seeds and oleaginous fruit",5,"osd","Oil seeds","Oil Seeds: oil seeds and oleaginous fruit; soy beans, copra"
6,"c_b","Sugar cane, sugar beet","Cane & Beet: sugar crops",6,"c_b","Sugar cane, sugar beet","Cane & Beet: sugar cane and sugar beet"
7,"pfb","Plant-based fibers","Fibres crops",7,"pfb","Plant-based fibers","Plant Fibres: cotton, flax, hemp, sisal and other raw vegetable materials used in textiles"
8,"ocr","Crops nec","Other Crops: stimulant; spice and aromatic crops; forage products; plants and parts of plants used primarily in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet seeds (excluding sugar beet seeds) and seeds of forage plants; natural rubber in primary forms or in plates, sheets or strip, living plants; cut flowers and flower buds; flower seeds, unmanufactured tobacco; other raw vegetable materials nec",8,"ocr","Crops nec","Other Crops: live plants; cut flowers and flower buds; flower seeds and fruit seeds; vegetable seeds, beverage and spice crops, unmanufactured tobacco, cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form of pellets; swedes, mangolds, fodder roots, hay, lucerne (alfalfa), clover, sainfoin, forage kale, lupines, vetches and similar forage products, whether or not in the form of pellets, plants and parts of plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes, sugar beet seed and seeds of forage plants, other raw vegetable materials"
9,"ctl","Bovine cattle, sheep and goats, horses","Cattle: bovine animals, live, other ruminants, horses and other equines, bovine semen",9,"ctl","Bovine cattle, sheep and goats, horses","Cattle: cattle, sheep, goats, horses, asses, mules, and hinnies; and semen thereof"
10,"oap","Animal products nec","Other Animal Products: swine; poultry; other live animals; eggs of hens or other birds in shell, fresh; reproductive materials of animals; natural honey; snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails; edible products of animal origin n.e.c.; hides, skins and furskins, raw; insect waxes and spermaceti, whether or not refined or coloured",10,"oap","Animal products nec","Other Animal Products: swine, poultry and other live animals; eggs, in shell (fresh or cooked), natural honey, snails (fresh or preserved) except sea snails; frogs' legs, edible products of animal origin n.e.c., hides, skins and furskins, raw , insect waxes and spermaceti, whether or not refined or coloured"
